"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2013/05/07,"Cr CASH  "," ",45," ",13310
2013/05/07,"{CHQ} BILL "," ",10000,"Hand ",13315
2013/05/07,"{CHQ} BILL "," ",11400,"Hand ",13316
2013/05/07,"{CrSale} 2610 15ps ",21445," "," ",13317
2013/05/08,"{CrSalRtn} 2613 15ps "," ",21445," ",13321
2013/06/17,"Dr CHQ  ",21400," "," ",14681
2014/08/31,"dR  ",45," "," ",32818
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1191 ","A/C Name : BARAKATH CENTRE,     PUTHUKKADE   ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
