"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2013/08/17,"{CrSale} 3022 20PS ",15780," "," ",17465
2013/09/20,"{CrSalRtn} 3177 20ps "," ",15780," ",18190
2013/09/21,"{CrSale} 3080 7ps ",6530," "," ",18233
2013/11/25,"{CrSale} 3249 20PS ",27220," "," ",20329
2013/11/26,"Cr CASH  "," ",6500," ",20393
2013/12/02,"{CrSalRtn} 3407 20ps "," ",27220," ",20703
2014/08/31,"cR  "," ",30," ",32821
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1203 ","A/C Name : ASHRA DEHIWELA,        ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
