"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/08/09,"{CrSale}   ",22050," "," ",6014
2012/08/11,"{CrSalRtn}   "," ",19235," ",6209
2012/08/11,"{CrSale}   ",8200," "," ",6212
2012/10/03,"{CrSale} O2901 1PS ",4000," "," ",2829
2012/11/21,"Cr CASH  "," ",15015," ",5512
2015/07/06,"Dr CASH 4-7-15  ",9344," "," ",40470
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance ",9344," "," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1148 ","A/C Name : LA DEFENSE,     KEYZER STREET   ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
