"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2015/12/17,"{CrSale} 1537  ",122625," "," ",45824
2015/12/31,"{CHQ} BILL "," ",100000,"Rtn ",45931
2016/01/09,"{CrSale} 1592  ",44925," "," ",46295
2016/01/09,"{CrSale} 1591  ",131150," "," ",46299
2016/02/25,"{CrSalRtn} 4972  "," ",95310," ",48678
2016/02/25,"{CHQ}  "," ",100000,"Rtn ",49210
2016/03/21,"{CrSale} 1808  ",118725," "," ",48821
2016/03/21,"{CrSale} 1807  ",198485," "," ",48824
2016/04/25,"{CHQ} BILL "," ",100000,"Rtn ",50283
2016/05/04,"{CHQ} BILL "," ",150000,"Bank ",49040
2016/05/04,"{CHQ} BILL "," ",150000,"Rtn ",49041
2016/05/04,"{CHQ} BILL "," ",40000,"Rtn ",49042
2016/05/04,"Dr TOP UP  ",20000," "," ",49044
2016/05/11,"Cr DIS  "," ",600," ",49729
2016/06/02,"{CHQ RETURN} Chq No.160874, Chq Date: 31-May-16 ",100000," "," ",50343
2016/06/02,"{CHQ RETURN} Chq No.644846, Chq Date: 31-May-16 ",100000," "," ",50345
2016/06/02,"{CHQ RETURN} Chq No.937766, Chq Date: 31-May-16 ",100000," "," ",50346
2016/06/07,"Cr CASH FOR RC  "," ",130000," ",50455
2016/07/12,"Cr CASH  "," ",100000," ",51751
2016/08/08,"Dr TOPUP  ",30000," "," ",52311
2016/09/21,"{CHQ RETURN} Chq No.937794, Chq Date: 15-Sep-16 ",40000," "," ",53503
2016/10/12,"{CHQ RETURN} Chq No.937793, Chq Date: 16-Sep-31 ",150000," "," ",53794
2016/11/11,"{CHQ} RC "," ",290000,"Rtn ",54792
2016/11/25,"Dr CHQ FRM TOP UP  ",100000," "," ",55211
2016/11/30,"Cr CASH  "," ",100000," ",55264
2016/11/30,"Cr TOP PUP  "," ",190000," ",55275
2016/11/30,"{CrSale} 2569  ",227895," "," ",55530
2016/12/01,"{CHQ RETURN} Chq No.530749, Chq Date: 25-Nov-16 ",290000," "," ",55336
2016/12/02,"{CrSale} 2572  ",63725," "," ",55521
2016/12/02,"{CrSale} 2571  ",111870," "," ",55524
2016/12/02,"{CrSale} 2570  ",90300," "," ",55527
2017/01/10,"Cr CASH FOR RC  "," ",100000," ",56300
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance ",393790," "," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1271 ","A/C Name : LADIES CORNER BATTICALOA,     BATTICALOA   ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
