"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  12/7/12  ",25165," "," ",2027
2012/11/20,"CR  "," ",415," ",32835
2012/11/22,"{CHQ} OVER PAY THEN BILL (BCZ SALMAN) "," ",47400,"Hand ",5619
2012/11/22,"TRANSFER TO SHANTHI FROM HIS CHQ(121870)  ",22235," "," ",5621
2014/07/21,"{CrSale} 4544 115PS ",111855," "," ",28166
2014/07/21,"{CrSale} 4545 62PS ",207310," "," ",28170
2014/09/24,"{CrSalRtn} 4804 14ps "," ",50750," ",30851
2014/10/10,"{CHQ} BILL "," ",100000,"Bank ",30864
2014/10/10,"{CHQ} BILL "," ",168000,"Bank ",30865
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1113 ","A/C Name : KALAIVANI TEX NELLIYADI,   NELLIYADI  JAFFNA   ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
