"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/08/16,"Dr CASH  ",125000," "," ",6903
2012/11/14,"Dr CASH  ",103000," "," ",5309
2012/11/14,"Cr CAR  "," ",103000," ",5311
2012/12/20,"Dr CASH  ",200000," "," ",7757
2012/12/20,"Cr CAR  "," ",200000," ",7759
2013/01/30,"Dr CASH  ",140000," "," ",9368
2013/04/26,"DR CASH  ",100000," "," ",12934
2013/04/27,"Dr CASH  ",100000," "," ",12979
2013/07/18,"Dr CASH  ",150000," "," ",15964
2013/10/26,"Dr CASH  ",80000," "," ",19369
2014/01/07,"Dr CASH  ",85000," "," ",22000
2014/01/08,"Dr CASH  ",8500," "," ",22032
2014/02/12,"Dr CASH  ",56000," "," ",22748
2014/03/10,"Dr CASH  ",4600," "," ",23551
2014/03/24,"Dr CAHS  ",1140," "," ",24298
2014/07/26,"Dr CASH  ",130000," "," ",29510
2014/07/26,"Dr CASH  ",50000," "," ",29512
2014/08/31,"Cr to 9169  "," ",1030240," ",31039
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1161 ","A/C Name : ***********CAR LEASE,        ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
