"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  12/7/12  ",1649365," "," ",1964
2012/07/12,"Dr R/C BEFOR STOCK  ",50000," "," ",10751
2012/07/24,"Cr CASH FOR R/C  "," ",50000," ",1065
2012/08/06,"{CrSale}   ",78395," "," ",2510
2012/08/15,"Dr R/C  ",75000," "," ",6793
2012/08/16,"Dr R/C FRM MALIK  ",100000," "," ",8453
2012/08/16,"Cr CASH FOR R/C  "," ",75000," ",8464
2012/08/30,"Cr CAHS FOR RC  "," ",75000," ",27007
2012/09/12,"Cr CASH FOR R/C  "," ",100000," ",2062
2012/09/13,"Dr R/C  ",100000," "," ",2107
2012/10/08,"{CHQ} BILL "," ",75000,"Bank ",3013
2012/10/08,"{CHQ} BILL "," ",75000,"Hand ",3014
2012/10/08,"{CHQ} BILL "," ",75000,"Hand ",3015
2012/10/08,"{CHQ} BILL "," ",75000,"Hand ",3016
2012/10/08,"{CHQ} BILL "," ",75000,"Hand ",3017
2012/10/08,"{CHQ} BILL "," ",75000,"Hand ",3018
2012/10/08,"{CHQ} BILL "," ",75000,"Hand ",3019
2012/11/14,"Cr CASH FOR R/;C  "," ",25000," ",5314
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5567
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5568
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5569
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5570
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5571
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5572
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5573
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5574
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5575
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5576
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5577
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5578
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5579
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5580
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5581
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5582
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5583
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5584
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5585
2012/11/22,"{CHQ} BILL "," ",50000,"Hand ",5586
2012/12/31,"Dr R/C (963436)  ",75000," "," ",8141
2013/01/03,"Dr R/C 963437  ",75000," "," ",8218
2013/01/17,"Dr R.C FRM MARUTHI - 963438  ",75000," "," ",8936
2013/02/05,"Dr R/C - 963449  ",75000," "," ",9508
2013/02/15,"Dr R/C 963440  ",75000," "," ",9817
2013/02/19,"Cr CASH FOR R/C  "," ",75000," ",9888
2013/02/27,"Dr R/C - 963441  ",75000," "," ",10092
2013/03/04,"Dr R/C - 963442  ",70000," "," ",10265
2013/03/08,"Dr R/C - 092461  ",50000," "," ",10463
2013/03/12,"Cr CASH FOR R/C  "," ",50000," ",10606
2013/03/12,"Dr R/C - 093683  ",50000," "," ",10616
2013/03/14,"DR R/C - 092462  ",50000," "," ",10812
2013/03/20,"Dr R/C - 093684  ",50000," "," ",11230
2013/03/20,"Dr R/C - 092463  ",50000," "," ",11235
2013/03/22,"Dr R/C - 092464  ",50000," "," ",11370
2013/04/02,"Dr R/C - 093685  ",50000," "," ",11954
2013/04/03,"DR R/C - 092466  ",50000," "," ",12023
2013/04/09,"Dr R/C- 092467  ",50000," "," ",12499
2013/04/10,"Cr CASH FOR R/C  "," ",100000," ",12574
2013/04/10,"Cr CASH FOR R/C  "," ",50000," ",12575
2013/04/16,"Cr CASH  "," ",50000," ",27005
2013/04/19,"Dr R/C - 093686  ",50000," "," ",12758
2013/04/22,"Cr CASH FOR R/C  "," ",50000," ",12791
2013/04/26,"Dr R/C - 092470  ",50000," "," ",12952
2013/04/26,"Dr R/C - 093687  ",50000," "," ",12953
2013/04/30,"Dr R/C (ACCOUNT CLOSED CHQ 50*6)  ",300000," "," ",13063
2013/05/06,"Dr R.C - 092469  ",50000," "," ",13234
2013/05/15,"Cr CASH FOR R/C  "," ",50000," ",13649
2013/06/06,"Cr CASH FOR R/C  "," ",50000," ",14258
2013/06/17,"Cr CASH FOR R/C  "," ",50000," ",14674
2013/06/24,"Cr CASH FOR R/C  "," ",50000," ",14912
2013/07/03,"Cr CASH FOR R.C  "," ",50000," ",15249
2013/07/30,"Cr CASH FOR R.C  "," ",50000," ",16717
2013/08/30,"Cr CASH  "," ",50000," ",27003
2013/09/02,"Cr CASH FOR RC  "," ",50000," ",17761
2013/09/04,"Cr CASH  "," ",50000," ",17818
2013/09/06,"Cr CASH  "," ",50000," ",17933
2013/09/13,"Cr CASH 12-9-13  "," ",50000," ",18107
2013/09/23,"Cr CAS  "," ",50000," ",18299
2014/01/07,"Cr CASH FOR RC  "," ",10000," ",27001
2014/06/20,"Cr STYLE PARK  "," ",687760," ",27016
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1077 ","A/C Name : KAVERI SILK JAFFNA,     JAFFNA   0212222333 ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
