"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/11,"opn  ",500000," "," ",15425
2012/07/12,"OPENING BALANCE  6/12/11  ",1128740," "," ",1991
2013/06/30,"Cr A.MU KADAN  "," ",1628740," ",29895
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1067 ","A/C Name : KAMSHY FASHION VAVUNIYA,     VAVUNIYA  0770764009 (YASOGA) ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
