Tr.Date ,Detail ,Debit ,Credit ,Status ,TransNo 
4/5/2012, Opening Balance  , ,0, , 
7/12/2012,opening balance  ,"1,991,105.00", , ,2030
7/14/2012,Cr CHEQUE  , ,"1,991,105.00", ,666
8/6/2012,{CrSale}   ,"172,045.00", , ,2504
9/11/2012,Cr CHQ FOR R/C  , ,"600,000.00", ,2036
9/13/2012,Dr R/C  ,"300,000.00", , ,2108
9/20/2012,Dr R/C - 466012  ,"300,000.00", , ,10748
9/24/2012,Dr R/C  ,"300,000.00", , ,2586
10/8/2012,Dr R/C  ,"300,000.00", , ,2963
10/8/2012,{CHQ} R/C , ,"300,000.00",Hand ,3020
10/8/2012,{CHQ} R/C , ,"300,000.00",Hand ,3021
11/8/2012,{CrSalRtn} 1871 11ps , ,"27,715.00", ,5023
11/19/2012,Dr R/C (466048  ,"250,000.00", , ,5440
12/28/2012,Dr R/C 480502  ,"300,000.00", , ,8082
1/3/2013,Dr R/C 480501  ,"300,000.00", , ,8220
1/4/2013,Dr R/C - 487822  ,"300,000.00", , ,8256
1/24/2013,Dr R/C - 480503  ,"250,000.00", , ,9225
2/5/2013,Dr R/C 480504  ,"250,000.00", , ,9534
2/11/2013,{CrSalRtn} 1381 122PS , ,"79,020.00", ,9713
2/21/2013,Dr R/C - 480505  ,"191,105.00", , ,9944
6/29/2013,{CHQ} R.C  , ,"23,000.00",Hand ,15141
8/14/2013,{CHQ} RC (ARUN'S CHQ) , ,"70,000.00",Hand ,17386
8/14/2013,{CHQ} RC (ARUN'S CHQ) , ,"70,000.00",Hand ,17387
8/14/2013,{CHQ} RC(ARUN'S CHQ) , ,"70,000.00",Hand ,17388
9/2/2013,Dr RC - 535696  ,"200,000.00", , ,17764
6/18/2014,Cr FRM KITSEL  , ,"371,110.00", ,29880
7/27/2014,{CHQ} BILL , ,"36,750.00",Hand ,28718
7/8/2015,Dr SF ANBANS  ,"61,770.00", , ,40643
12/29/2015,Cr CASH FOR RC  , ,"20,000.00", ,45920
12/29/2015,Cr DISCOUNT  , ,"227,325.00", ,45922
12/29/2015,Cr ZAKKATH  , ,"500,000.00", ,45924
3/28/2016,Cr CASH FOR RC  , ,"20,000.00", ,48532
6/1/2016,Cr CASH FRO RC  , ,"20,000.00", ,50334
 , , , , , 
 , ,,, , 
4/5/2017,Closing Balance ,"740,000.00", , , 
 , ,,, , 
 , , , , , 
 , , , , , 
 , , , , , 
A/C: 1008 ,"A/C Name : KITSEL BATTICALOA (ROYAL FASHION MANNAR), 25, NEW BUS STAND  MANNAR    0773421965 ",,To Date: 4/5/2017 , , 
