"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2017/01/16,"{CrSale} 2674  ",28950," "," ",56756
2017/01/25,"Cr TO TOPUP AC  "," ",41035," ",57067
2017/01/28,"{CrSale} 2685  ",12085," "," ",56725
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1313 ","A/C Name : AURA FOREVER AMBALANGODA,     AMBALANGODA   ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
