"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  12/7/12  ",6015," "," ",1965
2012/12/17,"{CHQ} BILL "," ",64000,"Hand ",7509
2012/12/17,"{CHQ} BILL "," ",50000,"Hand ",7510
2012/12/17,"{CHQ} BILL "," ",50000,"Hand ",7511
2012/12/17,"{CHQ} BILL "," ",50000,"Hand ",7512
2012/12/17,"{CHQ} BILL "," ",100000,"Hand ",7513
2012/12/17,"{CHQ} BILL "," ",100000,"Hand ",7514
2012/12/17,"{CHQ} BILL "," ",50000,"Hand ",7515
2012/12/17,"{CHQ} BILL "," ",100000,"Hand ",7516
2012/12/17,"{CrSale} 1712 59ps ",123505," "," ",7560
2012/12/17,"{CrSale} 1713 119ps ",160935," "," ",7564
2012/12/17,"{CrSale} 1406 62PS ",159710," "," ",7612
2012/12/17,"{CrSale} 1407 59PS ",114225," "," ",7615
2013/04/26,"Dr R/C - 356353  ",50000," "," ",12941
2013/04/30,"Dr R/C - 356356  ",100000," "," ",13052
2013/05/14,"{CrSalRtn} 2621 16PS "," ",58480," ",13625
2013/06/04,"Dr R/C - 356359  ",100000," "," ",14183
2013/08/15,"Cr CHQ - 459107  "," ",100000," ",17344
2013/09/06,"{CHQ} R/C "," ",100000,"Hand ",17918
2013/09/11,"Dr CASH  ",8000," "," ",18055
2013/10/25,"{CrSale} 3383 29ps ",108695," "," ",19225
2013/12/04,"{CrSalRtn} 3409 15ps "," ",52225," ",20839
2013/12/04,"{CHQ} BILL "," ",28000,"Hand ",20877
2013/12/04,"{CHQ} BILL "," ",28000,"Hand ",20878
2014/09/10,"Cr DIS  "," ",380," ",30179
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1019 ","A/C Name : ANTTO TEX TRINCOMALEE, 298, COURT ROAD    TRINCOMALEE  0262222588 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
