"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/10/10,"{CrSale} 1250 2PS ",8000," "," ",3097
2012/10/15,"{CrSalRtn} 1180  "," ",1000," ",3424
2012/10/15,"Cr CASH  "," ",7000," ",3473
2013/01/16,"{CrSale} 2064 1SALAWAR ",4500," "," ",8900
2013/01/22,"Cr CASH  "," ",4500," ",9133
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1151 ","A/C Name : ARAFATH BRO,        ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
