"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  12/7/12  ",28405," "," ",2003
2012/07/13,"{CrSale}   ",185860," "," ",624
2012/08/13,"{CrSale}   ",42810," "," ",6358
2012/10/06,"{CrSalRtn} 1245 38PS "," ",158860," ",2905
2012/10/23,"{CrSale} 1959 4ps ",13980," "," ",3839
2012/11/20,"CR  "," ",37050," ",32829
2013/02/27,"{CHQ} BILL "," ",75815,"Hand ",10088
2013/08/16,"{CrSale} 3064 40PS ",50670," "," ",17484
2013/11/19,"{CHQ} BILL "," ",50000,"Hand ",20119
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1087 ","A/C Name : KEERTHIKAS URUMPIRAI,   URUMPIRAI  JAFFNNA  0772288245 ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
