"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  MONTH OF 6TH  ",709105," "," ",1990
2012/07/12,"Dr OLD BALANCE R/C  ",100000," "," ",10746
2012/07/17,"{CrSalRtn}   "," ",40230," ",708
2012/08/06,"Cr CASH FOR R/C  "," ",200000," ",5844
2012/08/07,"Dr R/C  ",200000," "," ",5907
2012/08/08,"Cr CASH FOR R/C  "," ",100000," ",5971
2012/10/05,"Dr R/C  ",300000," "," ",2875
2012/10/08,"{CHQ} R/C "," ",200000,"Hand ",10749
2012/10/08,"{CHQ} R/C "," ",100000,"Hand ",10750
2012/11/19,"{CHQ} BILL "," ",117910,"Hand ",5505
2012/11/19,"{CHQ} BILL "," ",100000,"Hand ",5506
2012/11/19,"{CHQ} BILL "," ",100000,"Hand ",5507
2012/11/19,"{CHQ} BILL "," ",100000,"Hand ",5508
2012/11/19,"{CHQ} BILL "," ",100000,"Hand ",5509
2012/11/19,"{CHQ} BILL "," ",100000,"Hand ",5510
2013/06/11,"{CHQ} BILL "," ",75000,"Hand ",14461
2013/06/11,"{CHQ} BILL "," ",150000,"Hand ",14462
2013/06/11,"{CHQ} BILL "," ",200000,"Hand ",14463
2013/07/08,"Dr R/C - 535694  ",75000," "," ",15337
2013/07/29,"Dr RC  535695  ",150000," "," ",16456
2013/11/12,"{CHQ} RC "," ",113000,"Hand ",19909
2013/11/12,"{CHQ} RC "," ",50000,"Hand ",19910
2013/11/12,"{CHQ} RC "," ",32947,"Hand ",19911
2013/11/12,"{CHQ} RC "," ",23000,"Hand ",19912
2013/11/12,"{CrSalRtn} 3200 132ps "," ",199075," ",20054
2014/04/02,"Dr RC - 033805  ",50000," "," ",24894
2014/04/21,"Dr RC -(MUSAFFIR) - 811070  ",32947," "," ",25406
2014/05/06,"Dr RC - 033806  ",113000," "," ",25856
2014/06/18,"Dr FRM ROYAL FASHION  ",371110," "," ",29879
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1060 ","A/C Name : KIT SEL BATTICALOA,     BATTICALOA  0773421965 ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
