"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2016/11/04,"{CrSale} 2555  ",87010," "," ",54902
2016/12/05,"{CHQ} BILL "," ",40000,"Bank ",55390
2016/12/05,"{CHQ} BILL "," ",47010,"Hand ",55391
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1308 ","A/C Name : CEYLON TEX MONARAGALA,     MONARAGALA   ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
