Tr.Date ,Detail ,Debit ,Credit ,Status ,TransNo 
4/5/2012, Opening Balance  , ,0, , 
5/7/2013,{CrSale} 2612 53PS ,"132,015.00", , ,13448
6/6/2013,{CHQ} BILL , ,"45,000.00",Hand ,14287
6/6/2013,{CHQ} BILL , ,"45,000.00",Hand ,14288
6/6/2013,{CHQ} BILL , ,"42,000.00",Hand ,14289
8/14/2013,Cr DISCOUNT  , ,50, ,17320
9/10/2013,{CrSale} 3046 76ps ,"104,540.00", , ,18218
11/1/2013,{CHQ} BILL , ,"50,000.00",Hand ,19605
11/1/2013,{CHQ} BILL , ,"54,540.00",Hand ,19606
2/5/2014,Dr RC - 260074  ,"50,000.00", , ,22619
2/25/2014,{CHQ} RC , ,"50,000.00",Hand ,23073
8/31/2014,dR  ,35, , ,32801
 , , , , , 
 , ,,, , 
4/5/2017,Closing Balance , ,0, , 
 , ,,, , 
 , , , , , 
 , , , , , 
 , , , , , 
A/C: 1018 ,"A/C Name : INDIAN BALANGODA,     BALANGODA   ",,To Date: 4/5/2017 , , 
