"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2015/03/28,"{CrSale} N731 66PS ",81210," "," ",37253
2015/06/29,"{CrSalRtn} 2435 38ps "," ",52420," ",40151
2015/07/11,"{CHQ} BILL "," ",28000,"Bank ",40740
2016/05/11,"Cr DIS  "," ",790," ",49723
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1247 ","A/C Name : AUFF TEX TRINCOMALEE,     TRINCOMALEE   ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
