"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2013/05/07,"{CrSale} 2612 53PS ",132015," "," ",13448
2013/06/06,"{CHQ} BILL "," ",45000,"Hand ",14287
2013/06/06,"{CHQ} BILL "," ",45000,"Hand ",14288
2013/06/06,"{CHQ} BILL "," ",42000,"Hand ",14289
2013/08/14,"Cr DISCOUNT  "," ",50," ",17320
2013/09/10,"{CrSale} 3046 76ps ",104540," "," ",18218
2013/11/01,"{CHQ} BILL "," ",50000,"Hand ",19605
2013/11/01,"{CHQ} BILL "," ",54540,"Hand ",19606
2014/02/05,"Dr RC - 260074  ",50000," "," ",22619
2014/02/25,"{CHQ} RC "," ",50000,"Hand ",23073
2014/08/31,"dR  ",35," "," ",32801
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1018 ","A/C Name : INDIAN BALANGODA,     BALANGODA   ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
