"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/12/12,"Cr DIS COUNT  "," ",225," ",7125
2012/12/12,"{CrSale} 1501 62PS ",156130," "," ",7128
2012/12/12,"{CrSale} 1502 61PS ",176095," "," ",7132
2012/12/12,"{CHQ} BILL "," ",50000,"Hand ",7146
2012/12/12,"{CHQ} BILL "," ",50000,"Hand ",7147
2012/12/12,"{CHQ} BILL "," ",50000,"Hand ",7148
2012/12/12,"{CHQ} BILL "," ",50000,"Hand ",7149
2012/12/12,"{CHQ} BILL "," ",50000,"Hand ",7150
2012/12/12,"{CHQ} BILL "," ",50000,"Hand ",7151
2012/12/12,"{CHQ} BILL "," ",32000,"Hand ",10659
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1170 ","A/C Name : AAKASH MUTUR,     MUTUR  0779469747 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
