"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/11,"SALES  ",8663385," "," ",15477
2012/07/12,"OPENING BALANCE  12/7/12  ",4387669," "," ",1957
2012/08/04,"{CrSalRtn}   "," ",250000," ",2479
2012/08/10,"{CrSalRtn}   "," ",200000," ",6170
2012/08/10,"Cr CHQ  "," ",92000," ",6175
2012/08/10,"Cr CHQ NLT  "," ",181425," ",6177
2012/08/16,"Dr R/C JAZEEM PUTLAM  ",92000," "," ",8417
2013/06/30,"Cr A.MU KADAN  "," ",12419629," ",29893
2016/04/29,"Cr CASH  "," ",1500," ",49440
2016/04/29,"{CHQ} NON RECEVEABLE ACNT "," ",48185,"Bank ",49695
2016/04/29,"Dr NONE RECIEVABLE AC  ",49685," "," ",49697
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1043 ","A/C Name : AKRAM,       0771512017 / 0779458545 / 0752936130 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
