"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2016/02/16,"{CrSale} 1649  ",126710," "," ",47300
2016/05/24,"{CHQ} BILL "," ",276000,"Bank ",49997
2016/05/24,"Dr TOP UP  ",150275," "," ",50026
2016/05/31,"{CrSale} 1905  ",15900," "," ",50373
2016/08/22,"{CHQ} BILL "," ",15900,"Bank ",52800
2017/03/09,"Cr DIS  "," ",985," ",57779
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1276 ","A/C Name : KANDY TEX GALIOYA,     GALIOYA   ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
