"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/08/13,"Dr R/C  ",25000," "," ",6421
2012/08/16,"Cr CASH FOR R/C  "," ",5000," ",6874
2012/08/16,"Dr R/C  ",25000," "," ",8498
2012/09/20,"Dr R/C  ",25000," "," ",2341
2012/09/20,"Dr R/C 345954  ",25000," "," ",2345
2012/10/12,"Dr R/C  ",25000," "," ",3209
2012/10/13,"Dr R/C 345958 MARUTHI  ",25000," "," ",3385
2012/10/15,"Cr CASH FOR R/C  "," ",15000," ",3475
2012/10/17,"Dr R/C  ",25000," "," ",3507
2012/10/24,"Dr R/C (345961)  ",25000," "," ",3952
2012/10/26,"Dr R/C (345961)  ",17000," "," ",4015
2012/11/01,"Dr R/C 345962  ",25000," "," ",4362
2012/11/15,"Cr CASH FOR R/C  "," ",15000," ",5352
2014/09/17,"CR CASH  "," ",30000," ",29849
2015/01/19,"Cr CASH FOR RC  "," ",30000," ",35124
2015/05/11,"Cr CASH FOR RC  "," ",30000," ",38397
2015/12/07,"{CHQ} rc "," ",20000,"Bank ",45102
2015/12/07,"{CHQ} rc "," ",20000,"Bank ",45103
2015/12/07,"{CHQ} rc "," ",20000,"Bank ",45104
2015/12/07,"Cr DISCOUNT  "," ",37000," ",45135
2015/12/07,"Cr ZAKKATH AC  "," ",20000," ",45138
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1065 ","A/C Name : BABY SELECTION BATTICALOA,     BATTICALOA  0779177474 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
