"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2016/12/08,"{CrSale} 2587  ",19250," "," ",55630
2016/12/08,"Cr CHQ- FRM DRESS LINE VV-205136  "," ",19250," ",55749
2017/01/18,"Cr CASH  "," ",60400," ",56495
2017/01/25,"Dr FRM DRESS LINE VV  ",60400," "," ",57065
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1309 ","A/C Name : INDIAN SELECTION VAVUNIYA,     VAVUNIYA   ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
