"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2015/01/22,"{CrSale} N492 29PS ",59600," "," ",35236
2015/01/22,"Cr CASH  "," ",18000," ",35254
2015/01/23,"{CrSale} 497 2PS ",6400," "," ",35375
2015/02/16,"{CrSale} N571 6PS ",11000," "," ",35918
2015/02/18,"CR CASH  "," ",52500," ",35971
2015/02/18,"{CrSalRtn} 2473 1ps "," ",3200," ",36119
2015/02/18,"{CrSalRtn} 2472 6ps "," ",11000," ",36122
2015/02/18,"{CrSale} N577 16PS ",62400," "," ",36154
2015/03/30,"{CrSalRtn} 2500 5PS & LESS DAMG "," ",12300," ",38304
2015/04/01,"Cr CASH FOR BILL  "," ",30000," ",37597
2015/04/02,"Cr CASH  "," ",5000," ",37631
2015/10/11,"Cr BAD DEBT  "," ",7400," ",48180
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1241 ","A/C Name : BARBER STREET SISTER (Kuraishiya), 136/11,  MAHAVIDYALAYA MW  COLOMBO-13  0776756122 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
