"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  MONTH OF 3RD  ",24860," "," ",1966
2012/07/12,"14th chq 26000 entrd here  ",26000," "," ",18026
2012/07/14,"{CrSale}   ",794495," "," ",657
2012/07/24,"Cr CHQ FOR R/C  "," ",26000," ",1076
2012/08/02,"Dr R/C  ",100000," "," ",1655
2012/08/07,"Cr CASH FOR R//C  "," ",100000," ",5909
2012/09/11,"{CHQ} BILL "," ",85000,"Hand ",10580
2012/09/11,"{CHQ} BILL "," ",85000,"Hand ",10581
2012/09/11,"{CHQ} BILL "," ",76000,"Hand ",10582
2012/09/11,"{CHQ} BILL "," ",85000,"Hand ",10583
2012/09/11,"{CHQ} BILL "," ",85000,"Hand ",10584
2012/09/11,"{CHQ} BILL "," ",85000,"Hand ",10585
2012/09/13,"{CrSalRtn} 1173 10PS "," ",18970," ",2074
2012/09/13,"{CHQ}  "," ",62000,"Bank ",2087
2012/09/13,"{CHQ}  "," ",52000,"Hand ",2088
2012/09/13,"{CHQ}  "," ",52000,"Hand ",2089
2012/09/13,"{CHQ}  "," ",52000,"Hand ",2090
2012/10/01,"{CrSalRtn} 1178 4PS "," ",20700," ",10587
2012/10/12,"{CrSale} 1334 36ps ",70320," "," ",3241
2012/10/12,"{CrSale} 1601 64ps ",101860," "," ",3333
2012/10/16,"{CrSale} 3144 18PS ",33390," "," ",3607
2012/11/12,"Dr R/C - 005597  ",52000," "," ",5268
2012/11/30,"Cr CASH FOR R/C  "," ",20000," ",6485
2012/12/26,"Dr R/C 005598  ",52000," "," ",8031
2013/01/15,"Dr R/C 005599 FRM MARUTHI  ",62000," "," ",8848
2013/03/05,"{CHQ} R/C "," ",25000,"Hand ",10569
2013/03/05,"{CHQ} R/C "," ",30000,"Hand ",10570
2013/03/05,"{CHQ} R/C "," ",30000,"Hand ",10571
2013/03/05,"{CHQ} R/C "," ",30000,"Hand ",10572
2013/03/05,"{CHQ} R/C "," ",35000,"Hand ",10573
2013/03/05,"{CHQ} R/C "," ",30000,"Hand ",10574
2013/03/05,"{CHQ} R/C "," ",25000,"Hand ",10575
2013/03/08,"{CHQ} BILL "," ",10000,"Hand ",10465
2013/03/08,"{CHQ} BILL "," ",10000,"Hand ",10466
2013/03/08,"{CHQ} BILL "," ",10000,"Hand ",10467
2013/03/08,"{CHQ} BILL "," ",10000,"Hand ",10468
2013/03/08,"{CHQ} BILL "," ",10000,"Hand ",10469
2013/03/08,"{CHQ} BILL "," ",10000,"Hand ",10470
2013/03/08,"{CHQ} BILL "," ",10000,"Hand ",10471
2013/03/08,"{CHQ} BILL "," ",16000,"Hand ",10472
2013/03/08,"{CHQ} BILL "," ",30000,"Hand ",10473
2013/03/08,"{CHQ} BILL "," ",10000,"Hand ",10474
2013/03/08,"{CHQ} BILL "," ",10000,"Hand ",10475
2013/03/18,"Dr CHQ  ",10000," "," ",11063
2013/03/18,"Cr CASH  "," ",10000," ",11065
2013/07/19,"{CrSale} 2780 18ps ",26730," "," ",16258
2015/10/11,"Cr BAD DEBT  "," ",97985," ",48179
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1020 ","A/C Name : ANSHAB TEX AKKARAIPATRU,       0776201837 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
