"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/09/14,"{CrSale} 3103 38PS ",79130," "," ",2129
2012/09/14,"{CrSale} 3104 30PS ",54600," "," ",2132
2012/09/14,"{CrSale} 3105 34PS ",67370," "," ",2135
2012/09/14,"{CrSale} 3106 73PS ",81285," "," ",2138
2013/01/17,"{CHQ} BILL "," ",100000,"Hand ",8963
2013/01/17,"{CHQ} BILL "," ",90000,"Hand ",8964
2013/01/17,"{CHQ} BILL "," ",90000,"Hand ",8965
2013/01/17,"{CrSale} 1566 44PS ",94380," "," ",9024
2013/04/12,"Dr R/C - 025832  ",90000," "," ",12582
2013/05/20,"Dr R/C - 025834  ",90000," "," ",13877
2013/05/29,"{CHQ} BILL "," ",75000,"Hand ",14009
2013/05/29,"{CHQ} BILL "," ",75000,"Hand ",14010
2013/05/29,"{CHQ} BILL "," ",75000,"Hand ",14011
2013/05/29,"{CHQ} BILL "," ",75000,"Hand ",14012
2013/05/29,"Dr R/C - 025835  ",100000," "," ",14036
2013/06/19,"Cr CASH FO R/C  "," ",25000," ",14740
2013/12/05,"{CHQ} BILL "," ",51765,"Hand ",20929
2016/12/27,"{CHQ} BILL "," ",85785,"Bank ",56058
2016/12/27,"{CrSale} 2661  ",85785," "," ",56144
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1047 ","A/C Name : INDIAN SELECTION MANNAR,     MANNAR   ",,"To Date: 4/5/2017 "," "," "
