"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/10/30,"{CrSale} 1492 36ps ",128860," "," ",4305
2013/03/30,"{CrSale} 2320 24ps ",64440," "," ",11765
2013/04/24,"{CHQ} BILL "," ",25000,"Hand ",12867
2013/04/24,"{CHQ} BILL "," ",25000,"Hand ",12868
2013/04/24,"{CHQ} BILL "," ",25000,"Hand ",12869
2013/04/24,"{CHQ} BILL "," ",25000,"Hand ",12870
2013/04/24,"{CHQ} BILL "," ",25000,"Hand ",12871
2013/04/24,"{CHQ} BILL "," ",25000,"Hand ",12872
2013/07/12,"Dr R/C - 199492  ",25000," "," ",15493
2013/07/20,"Dr  R.C-199493  ",25000," "," ",16015
2013/07/29,"Dr R.C 199494  ",25000," "," ",16454
2013/08/01,"Dr RC- 199495  ",25000," "," ",16978
2014/04/21,"Cr CASH  "," ",12000," ",25438
2015/10/11,"Cr BAD DEBT  "," ",131300," ",48191
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1106 ","A/C Name : KETHEES TEX CHAVAKACHERI,   CHAVAKACHERI  JAFFNA  0773248877 ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
