"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2013/08/30,"{CrSale} 3073 4ps ",9815," "," ",17807
2013/08/30,"{CrSale} 3036 2ps ",2700," "," ",17811
2013/09/02,"{CrSalRtn} 3167 1PS "," ",1500," ",17799
2014/04/02,"Cr CASH 1-4-14  "," ",5000," ",24922
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance ",6015," "," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1204 ","A/C Name : JANA AUNTY,        ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
