"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  12/7/12  ",35890," "," ",1988
2012/07/12,"sales  ",93680," "," ",18028
2012/07/25,"Cr CASH FOR R/C  "," ",10000," ",1139
2012/08/07,"Cr CASH FOR R/C  "," ",10000," ",5913
2012/09/10,"Cr CASH  "," ",10000," ",1938
2012/10/06,"Cr CASH  "," ",10000," ",2915
2012/11/19,"Cr R/C CASH  "," ",10000," ",5403
2013/05/14,"Cr CASH  "," ",10000," ",13610
2014/10/28,"dR cash  ",10000," "," ",32532
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance ",79570," "," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1080 ","A/C Name : JAWSAN COLOMBO,     COLOMBO   ","From Date: 4/5/2012 ","To Date: 4/5/2017 "," "," "
